"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"FARSB",-1.96267946989089,-34.2832673066322,3.42900045202052e-15,3.08296027025114e-13,"HGNC:17800","FARSB",10056,10056,TRUE
"RPS16",-3.28886352487502,-34.2463286127474,3.48193159934247e-15,3.08296027025114e-13,"HGNC:10396","RPS16",6217,6217,TRUE
"RPLP0",-2.63270515645226,-33.901648765182,4.02010650874773e-15,3.48682707391385e-13,"HGNC:10371","RPLP0",6175,6175,TRUE
"RPL12",-2.84681338971361,-33.8301310538353,4.14253497944441e-15,3.51418517645208e-13,"HGNC:10302","RPL12",6136,6136,TRUE
"NOMO1",-2.31518271275022,-33.7877154795005,4.2170222117425e-15,3.51418517645208e-13,"HGNC:30060","NOMO1",23420,23420,TRUE
"UBE2I",-2.45550228731494,-33.7091106019533,4.35887374882824e-15,3.56254104471539e-13,"HGNC:12485","UBE2I",7329,7329,TRUE
"PTBP1",-2.65953258039808,-33.5171505979797,4.72716935732244e-15,3.75280048937903e-13,"HGNC:9583","PTBP1",5725,5725,TRUE
"PPT1",-1.80210814787869,-33.4967292172876,4.768264151211e-15,3.75280048937903e-13,"HGNC:9325","PPT1",5538,5538,TRUE
"RPL31",-3.52852204020514,-33.3269718767752,5.12502421893719e-15,3.96024598736056e-13,"HGNC:10334","RPL31",6160,6160,TRUE
"RPS3A",-2.92516344264116,-33.2302843363473,5.34088523852975e-15,4.05335040424133e-13,"HGNC:10421","RPS3A",6189,6189,TRUE
"FAM120A",-2.32878813304011,-32.7993770058961,6.42819314786506e-15,4.7103139445563e-13,"HGNC:13247","FAM120A",23196,23196,TRUE
"SRSF7",-4.08319856123712,-32.7001176500134,6.71077322696487e-15,4.83403156179673e-13,"HGNC:10789","SRSF7",6432,6432,TRUE
"HNRNPUL2",-3.91874925641627,-32.5575194366651,7.14020901412662e-15,5.05764805167302e-13,"HGNC:25451","HNRNPUL2",221092,221092,TRUE
"RPL15",-2.94303314268408,-32.3267828495305,7.89849190280796e-15,5.50304763720226e-13,"HGNC:10306","RPL15",6138,6138,TRUE
"SSR4",-2.22873734015998,-32.207234000943,8.324823847702e-15,5.70653247624734e-13,"HGNC:11326","SSR4",6748,6748,TRUE
"COPB2",-2.21903925081271,-32.1014574160737,8.72257521248875e-15,5.88427692905987e-13,"HGNC:2232","COPB2",9276,9276,TRUE
"MLEC",-1.82088770468026,-32.0117400042743,9.07586615945158e-15,6.02694237151082e-13,"HGNC:28973","MLEC",9761,9761,TRUE
"HNRNPH1",-3.53215289435518,-31.9229325821554,9.4406732653698e-15,6.15134060253525e-13,"HGNC:5041","HNRNPH1",3187,3187,TRUE
"TRA2B",-3.04305109812626,-31.896402687705,9.55267011217239e-15,6.15134060253525e-13,"HGNC:10781","TRA2B",6434,6434,TRUE
"HNRNPD",-5.20909844489012,-31.7972399068381,9.98402749835824e-15,6.29264366552137e-13,"HGNC:5036","HNRNPD",3184,3184,TRUE
"ANP32A",-2.92795252318215,-31.778417643331,1.00682298648342e-14,6.29264366552137e-13,"HGNC:13233","ANP32A",8125,8125,TRUE
"ALYREF",-3.09973150037523,-31.6378461331186,1.07215996175566e-14,6.60388382240804e-13,"HGNC:19071","ALYREF",10189,10189,TRUE
"TMPO",-2.75990343427256,-31.4681200284357,1.15714355656463e-14,7.02551445057094e-13,"HGNC:11875","TMPO",7112,7112,TRUE
"TMCO1",-1.70140420606225,-31.3694788398203,1.2098187633306e-14,7.24187287909164e-13,"HGNC:18188","TMCO1",54499,54499,TRUE
"PCBP3",-1.77470801790824,-31.2869261425433,1.25587282837396e-14,7.31158838436892e-13,"HGNC:8651","PCBP3",54039,54039,TRUE
"RPSA",-2.7654786242727,-31.2370192012176,1.28462051764519e-14,7.37788810809739e-13,"HGNC:6502","RPSA",3921,3921,TRUE
"SEPHS1",-1.63945073569822,-31.1271234952064,1.3504322971977e-14,7.65244968412031e-13,"HGNC:19685","SEPHS1",22929,22929,TRUE
"MOGS",-2.11997683076951,-31.0744001071951,1.38327668260442e-14,7.73542881719578e-13,"HGNC:24862","MOGS",7841,7841,TRUE
"CTSB",-2.58517648005202,-30.9623802053758,1.45592807144231e-14,8.03596662809069e-13,"HGNC:2527","CTSB",1508,1508,TRUE
"HNRNPL",-3.0877755172001,-30.6862574050293,1.65300221633617e-14,8.93465917080326e-13,"HGNC:5045","HNRNPL",3191,3191,TRUE
"HCFC1",-2.33940685535395,-30.6760730782401,1.66079546939637e-14,8.93465917080326e-13,"HGNC:4839","HCFC1",3054,3054,TRUE
"TM9SF4",-3.10144205758585,-30.380355820303,1.90510372156497e-14,1.00320917611173e-12,"HGNC:30797","TM9SF4",9777,9777,TRUE
"RPS24",-2.47346189414064,-30.3726089681012,1.91199866506001e-14,1.00320917611173e-12,"HGNC:10411","RPS24",6229,6229,TRUE
"CALR",-2.2192424273217,-30.2484900539995,2.02618152879839e-14,1.0501550606577e-12,"HGNC:1455","CALR",811,811,TRUE
