"symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"MYCBP",-0.855869976687463,-10.1421157367921,6.16410923213274e-08,3.29113872318645e-07,"HGNC:7554","MYCBP",26292,26292,TRUE
"ARL6IP5",-0.459097804990175,-10.1382433611635,6.19411581809159e-08,3.30301031705009e-07,"HGNC:16937","ARL6IP5",10550,10550,TRUE
"YTHDF1",-1.91315013167819,-10.1361410370967,6.21047133454927e-08,3.30758185110707e-07,"HGNC:15867","YTHDF1",54915,54915,TRUE
"GRIK2",0.424893767863248,10.1220664524639,6.32115448949604e-08,3.36231621781704e-07,"HGNC:4580","GRIK2",2898,2898,TRUE
"MYBBP1A",-1.44154508771807,-10.1178764143135,6.35450782583775e-08,3.3758322824763e-07,"HGNC:7546","MYBBP1A",10514,10514,TRUE
"FUBP3",-2.02337495612181,-10.1053552831859,6.45529494156195e-08,3.42509407011714e-07,"HGNC:4005","FUBP3",8939,8939,TRUE
"TRNT1",-0.580316845703228,-10.0895833851929,6.58466747476669e-08,3.48938114311202e-07,"HGNC:17341","TRNT1",51095,51095,TRUE
"BANF1",-0.658575091524881,-10.083597189342,6.63448804872152e-08,3.50849887618904e-07,"HGNC:17397","BANF1",8815,8815,TRUE
"XKR4",0.834923771438463,10.0832662030942,6.63725434460233e-08,3.50849887618904e-07,"HGNC:29394","XKR4",114786,114786,TRUE
"SNRPA1",-1.7919288310521,-10.065098967977,6.79098343958675e-08,3.58085355065058e-07,"HGNC:11152","SNRPA1",6627,6627,TRUE
"DNAJC8",-1.54025949464503,-10.0443458680239,6.97122651898953e-08,3.67133986439969e-07,"HGNC:15470","DNAJC8",22826,22826,TRUE
"SYN2",0.826512828650697,10.0298151171773,7.10044333535262e-08,3.73476289297632e-07,"HGNC:11495","SYN2",6854,6854,TRUE
"SYN3",0.776137744749879,10.0239773306401,7.15306975027149e-08,3.75779313209565e-07,"HGNC:11496","SYN3",8224,8224,TRUE
"HNRNPH3",-1.22072456782931,-10.0199193818713,7.18989489678539e-08,3.77247571744913e-07,"HGNC:5043","HNRNPH3",3189,3189,TRUE
"PEX14",-0.627220718381507,-10.0178335017579,7.20890205926382e-08,3.77778467963887e-07,"HGNC:8856","PEX14",5195,5195,TRUE
"YARS1",-0.59607311086647,-10.012413422312,7.25854098860094e-08,3.79911320216182e-07,"HGNC:12840","YARS1",8565,8565,TRUE
"CADM1",0.805802762032854,10.0086316206842,7.29339061425513e-08,3.80797421505949e-07,"HGNC:5951","CADM1",23705,23705,TRUE
"CADPS2",0.865199902411163,10.0020824638446,7.35416201024927e-08,3.83109283403354e-07,"HGNC:16018","CADPS2",93664,93664,TRUE
"RUVBL2",-0.767278810599444,-10.0019176532334,7.35569824134439e-08,3.83109283403354e-07,"HGNC:10475","RUVBL2",10856,10856,TRUE
"MCRIP1",-1.53592346828271,-9.99676457341755,7.4039031427956e-08,3.85147960304545e-07,"HGNC:28007","MCRIP1",348262,348262,TRUE
"EDIL3",0.768001327652613,9.99558369937187,7.41499683249959e-08,3.85253502911042e-07,"HGNC:3173","EDIL3",10085,10085,TRUE
"GNAI1",0.975686761367027,9.99311827680335,7.43821503383878e-08,3.85987959631439e-07,"HGNC:4384","GNAI1",2770,2770,TRUE
"FAM171B",0.992752085837791,9.99096335779821,7.45857219968283e-08,3.86572339617708e-07,"HGNC:29412","FAM171B",165215,165215,TRUE
"EIF2B4",-0.631502360182928,-9.97077770495887,7.65215651740233e-08,3.95640695851094e-07,"HGNC:3260","EIF2B4",8890,8890,TRUE
"MICAL3",0.555941291932586,9.96376112115597,7.72068885325817e-08,3.98698999105069e-07,"HGNC:24694","MICAL3",57553,57553,TRUE
"EIF2B5",-0.476192605622856,-9.94902879183021,7.86670907796261e-08,4.05746524045402e-07,"HGNC:3261","EIF2B5",8893,8893,TRUE
"ADCY5",0.618458308287834,9.94152921845355,7.94216359698281e-08,4.0914176105669e-07,"HGNC:236","ADCY5",111,111,TRUE
"PSMB6",-0.538355246742908,-9.9232777945319,8.12901892114303e-08,4.18260658775519e-07,"HGNC:9543","PSMB6",5694,5694,TRUE
"POR",-0.519633722189845,-9.91555421616298,8.20949025562956e-08,4.21890369847952e-07,"HGNC:9208","POR",5447,5447,TRUE
"MAP3K13",0.909494138164022,9.91140130713998,8.25310785028794e-08,4.23619666228548e-07,"HGNC:6852","MAP3K13",9175,9175,TRUE
"CDIPT",-0.629838076864038,-9.90257632909738,8.3466136269741e-08,4.27902387390107e-07,"HGNC:1769","CDIPT",10423,10423,TRUE
"PON2",-0.884683770243966,-9.89656373672423,8.41096343068442e-08,4.30681862414564e-07,"HGNC:9205","PON2",5445,5445,TRUE
"SVOP",0.880280600186419,9.88570675131774,8.52849649266861e-08,4.36174610034195e-07,"HGNC:25417","SVOP",55530,55530,TRUE
"FXYD6",0.813728565676065,9.87990914523106,8.59197092968357e-08,4.38892745807153e-07,"HGNC:4030","FXYD6",53826,53826,TRUE
"NEO1",0.84303541124131,9.87748866858555,8.61861927303871e-08,4.3972547311422e-07,"HGNC:7754","NEO1",4756,4756,TRUE
"KCNMA1",0.740835650111359,9.87500683089284,8.64603417786721e-08,4.4035001393184e-07,"HGNC:6284","KCNMA1",3778,3778,TRUE
"CRIP2",0.532391699796137,9.87450555181403,8.65158262666085e-08,4.4035001393184e-07,"HGNC:2361","CRIP2",1397,1397,TRUE
"INPP5J",0.491218599299882,9.86710515305327,8.7339352429241e-08,4.4400986581851e-07,"HGNC:8956","INPP5J",27124,27124,TRUE
"AVL9",0.5178382588346,9.86448024464198,8.76334489364068e-08,4.44188880791737e-07,"HGNC:28994","AVL9",23080,23080,TRUE
"DPYSL3",0.820236787741051,9.86442075884495,8.76401259184966e-08,4.44188880791737e-07,"HGNC:3015","DPYSL3",1809,1809,TRUE
"NTRK3",0.544284498793024,9.86399339859467,8.76881108198276e-08,4.44188880791737e-07,"HGNC:8033","NTRK3",4916,4916,TRUE
"HMGA1",-1.82699189561821,-9.84802784059629,8.95008637446305e-08,4.52831751088904e-07,"HGNC:5010","HMGA1",3159,3159,TRUE
"SYVN1",-1.67891391768285,-9.84202813969375,9.01923119871056e-08,4.55787545713673e-07,"HGNC:20738","SYVN1",84447,84447,TRUE
"FAM171A1",0.832059100630477,9.82732175890562,9.19112443804266e-08,4.63922551801441e-07,"HGNC:23522","FAM171A1",221061,221061,TRUE
"PDE10A",0.82619761357101,9.8253499137693,9.21443477042027e-08,4.64547423182516e-07,"HGNC:8772","PDE10A",10846,10846,TRUE
"SEC61A2",-1.98193248684803,-9.82310747107463,9.24102017759893e-08,4.65335731691889e-07,"HGNC:17702","SEC61A2",55176,55176,TRUE
"ITPR2",0.464059372614539,9.80273164352978,9.48634635369043e-08,4.77123929031767e-07,"HGNC:6181","ITPR2",3709,3709,TRUE
"CHD4",-1.62426448804354,-9.79384652779928,9.59547675979584e-08,4.82042272211966e-07,"HGNC:1919","CHD4",1108,1108,TRUE
"CTNNA2",0.53227366368363,9.7860762602426,9.69200512733828e-08,4.86316668136808e-07,"HGNC:2510","CTNNA2",1496,1496,TRUE
"TUBB",0.594329697459564,9.77795222397761,9.79402982250408e-08,4.90856447472197e-07,"HGNC:20778","TUBB",203068,203068,TRUE
"RBFOX2",-2.48951047362478,-9.76895594676592,9.90833815272373e-08,4.95929004042945e-07,"HGNC:9906","RBFOX2",23543,23543,TRUE
"PDS5B",1.87384083337983,9.76815526403236,9.9185800808589e-08,4.95929004042945e-07,"HGNC:20418","PDS5B",23047,23047,TRUE
"EHD1",0.512215522026761,9.76530910466552,9.95507764642489e-08,4.97168977641666e-07,"HGNC:3242","EHD1",10938,10938,TRUE
"PSMD8",-0.775835348904402,-9.76375760110698,9.9750331923338e-08,4.97580881072989e-07,"HGNC:9566","PSMD8",5714,5714,TRUE
"CNR1",0.862440433580115,9.75348142323009,1.01082811974904e-07,5.03636519218454e-07,"HGNC:2159","CNR1",1268,1268,TRUE
"ACTN2",0.876661266444575,9.74377119317165,1.02359252900655e-07,5.09399092304195e-07,"HGNC:164","ACTN2",88,88,TRUE
"STK11",0.68320749228072,9.72884963360982,1.04354147280541e-07,5.1871944554655e-07,"HGNC:11389","STK11",6794,6794,TRUE
"FBL",-1.21742676017637,-9.69918506228346,1.08443482360691e-07,5.38416822468386e-07,"HGNC:3599","FBL",2091,2091,TRUE
"GAP43",0.893145006790641,9.67922535167693,1.11290331214499e-07,5.51906543362454e-07,"HGNC:4140","GAP43",2596,2596,TRUE
"COLGALT1",-1.03587474628922,-9.67705170741823,1.11605106190206e-07,5.52822495697408e-07,"HGNC:26182","COLGALT1",79709,79709,TRUE
"PRAF2",-0.562612072100129,-9.66787122629295,1.12945017416132e-07,5.58808293385983e-07,"HGNC:28911","PRAF2",11230,11230,TRUE
"CEP192",-0.757515837696495,-9.66468728732032,1.13413693120379e-07,5.60474646234429e-07,"HGNC:25515","CEP192",55125,55125,TRUE
"SF3B3",-3.14391196049945,-9.65717934409581,1.14527041542408e-07,5.65319310749402e-07,"HGNC:10770","SF3B3",23450,23450,TRUE
"ISYNA1",0.826806718559088,9.65244999817572,1.15234294753797e-07,5.68150525178234e-07,"HGNC:29821","ISYNA1",51477,51477,TRUE
"PCDHA4",0.770318409945026,9.62024378216421,1.20175384439055e-07,5.91150195086844e-07,"HGNC:8670","PCDHA4",56144,56144,TRUE
"MCM5",-1.08783325229171,-9.58128802660319,1.26453779011494e-07,6.21304694565142e-07,"HGNC:6948","MCM5",4174,4174,TRUE
"PTPRD",0.813172334411276,9.55690359833213,1.30559894380649e-07,6.40738511683323e-07,"HGNC:9668","PTPRD",5789,5789,TRUE
"LYSMD1",0.542178329827894,9.54972889359048,1.31794772322834e-07,6.46052805504087e-07,"HGNC:32070","LYSMD1",388695,388695,TRUE
"PSMD14",-0.621956259748238,-9.54766070102367,1.32153033697672e-07,6.47062664994361e-07,"HGNC:16889","PSMD14",10213,10213,TRUE
"CCT6A",-0.595488781966683,-9.54374107390719,1.32834842551841e-07,6.49652567140764e-07,"HGNC:1620","CCT6A",908,908,TRUE
"PSMC5",-0.772636353807469,-9.54060419954681,1.33383178298012e-07,6.51584491685691e-07,"HGNC:9552","PSMC5",5705,5705,TRUE
"RGS7",0.638627765846619,9.53972124070417,1.33537954504955e-07,6.51591626459312e-07,"HGNC:10003","RGS7",6000,6000,TRUE
"AP2A2",0.48880175791341,9.49199194172691,1.42194343973432e-07,6.93034359962255e-07,"HGNC:562","AP2A2",161,161,TRUE
"SRSF6",-2.80606977637158,-9.48729539408216,1.43077697104219e-07,6.96540908010231e-07,"HGNC:10788","SRSF6",6431,6431,TRUE
"AGPAT1",-0.62360927941993,-9.47045437814474,1.46293354820991e-07,7.11380729964771e-07,"HGNC:324","AGPAT1",10554,10554,TRUE
"PSMD5",-0.719967471800793,-9.46707698937575,1.4694740811763e-07,7.13744553714205e-07,"HGNC:9563","PSMD5",5711,5711,TRUE
"ATAT1",0.743533974950819,9.46574082800037,1.47207019012433e-07,7.13769486489771e-07,"HGNC:21186","ATAT1",79969,79969,TRUE
"DPP10",0.568499645594894,9.46532232257763,1.47288432859183e-07,7.13769486489771e-07,"HGNC:20823","DPP10",57628,57628,TRUE
"DIP2C",0.478533536720875,9.46145284051891,1.48043444853371e-07,7.16611208003218e-07,"HGNC:29150","DIP2C",22982,22982,TRUE
"THRAP3",-3.04931713370735,-9.45523715599004,1.49264842145615e-07,7.21701455197795e-07,"HGNC:22964","THRAP3",9967,9967,TRUE
"OCRL",0.508962975873809,9.40981339524178,1.58521305616587e-07,7.65585850989199e-07,"HGNC:8108","OCRL",4952,4952,TRUE
"RAB23",0.421530874788822,9.39948149638139,1.60710450012406e-07,7.75277426280054e-07,"HGNC:14263","RAB23",51715,51715,TRUE
"PIP5K1C",0.553299725513996,9.39102617118569,1.62525805273889e-07,7.83145887090737e-07,"HGNC:8996","PIP5K1C",23396,23396,TRUE
"PSMC3",-0.770793412005609,-9.38798895152301,1.63183186788029e-07,7.85423039466731e-07,"HGNC:9549","PSMC3",5702,5702,TRUE
"ALCAM",0.610050738457886,9.37820209575793,1.65320700151454e-07,7.94811058420452e-07,"HGNC:400","ALCAM",214,214,TRUE
"RABAC1",-1.78431932907484,-9.37612224507315,1.65778762323977e-07,7.9611270042588e-07,"HGNC:9794","RABAC1",10567,10567,TRUE
"EIF2B3",-0.515483418110251,-9.37044489077796,1.67035987834513e-07,8.01244862637335e-07,"HGNC:3259","EIF2B3",8891,8891,TRUE
"CCT7",-0.589654601972793,-9.36768340096057,1.67651154730758e-07,8.03289072836213e-07,"HGNC:1622","CCT7",10574,10574,TRUE
"DGKB",0.498067190932082,9.35011659733294,1.71621057933796e-07,8.21384567813777e-07,"HGNC:2850","DGKB",1607,1607,TRUE
"ADGRL1",0.645516267641629,9.33002361473152,1.76284243073741e-07,8.41533364949017e-07,"HGNC:20973","ADGRL1",22859,22859,TRUE
"LAMC1",-1.36125100585291,-9.32961895217774,1.76379524444686e-07,8.41533364949017e-07,"HGNC:6492","LAMC1",3915,3915,TRUE
"PIKFYVE",0.431428033903869,9.32942591967916,1.76424994863429e-07,8.41533364949017e-07,"HGNC:23785","PIKFYVE",200576,200576,TRUE
"HSP90AB1",-0.63561666244251,-9.32825875237608,1.76700195482404e-07,8.41901155605623e-07,"HGNC:5258","HSP90AB1",3326,3326,TRUE
"LNPEP",-0.677529924140402,-9.32109772014102,1.78398642170713e-07,8.49041690062184e-07,"HGNC:6656","LNPEP",4012,4012,TRUE
"SF3B5",-0.609240489783838,-9.30874027447414,1.81370358757167e-07,8.62219267022327e-07,"HGNC:21083","SF3B5",83443,83443,TRUE
"L1CAM",1.26541345671033,9.30485999490732,1.82314267723656e-07,8.65738142821832e-07,"HGNC:6470","L1CAM",3897,3897,TRUE
"WASHC2C",-0.502513499076201,-9.30026468421902,1.83438846779298e-07,8.68245961122264e-07,"HGNC:23414","WASHC2C",253725,253725,TRUE
"ARHGAP21",0.59185108108863,9.29987879905008,1.83533615586582e-07,8.68245961122264e-07,"HGNC:23725","ARHGAP21",57584,57584,TRUE
"PTGES3",-0.446992988840087,-9.29940895520083,1.83649073649259e-07,8.68245961122264e-07,"HGNC:16049","PTGES3",10728,10728,TRUE
"RBMX",-1.09300324846701,-9.29936630813147,1.83659557423274e-07,8.68245961122264e-07,"HGNC:9910","RBMX",27316,27316,TRUE
"SLC30A1",0.887029284934476,9.27717213252157,1.89202418135197e-07,8.93455863416208e-07,"HGNC:11012","SLC30A1",7779,7779,TRUE
"SACM1L",-0.643893878051023,-9.25661620755817,1.94494300758441e-07,9.17425946973779e-07,"HGNC:17059","SACM1L",22908,22908,TRUE
"CNNM4",0.725147284128225,9.2516574026646,1.95794206932189e-07,9.22533680112866e-07,"HGNC:105","CNNM4",26504,26504,TRUE
"TUBB4B",0.567951402342597,9.24137756158932,1.98518368252758e-07,9.34333405397809e-07,"HGNC:20771","TUBB4B",10383,10383,TRUE
"ATP1A3",0.724986093494344,9.2341171912658,2.00466534397802e-07,9.42458817688782e-07,"HGNC:801","ATP1A3",478,478,TRUE
"MAST1",0.533647994431776,9.22599146969413,2.02670930081692e-07,9.51769561157116e-07,"HGNC:19034","MAST1",22983,22983,TRUE
"BCAS2",-1.23101180899255,-9.20856391170992,2.07485803151069e-07,9.7116152355952e-07,"HGNC:975","BCAS2",10286,10286,TRUE
"SLC39A10",0.571658423898345,9.1906783009994,2.1255336154643e-07,9.93786343863947e-07,"HGNC:20861","SLC39A10",57181,57181,TRUE
"ENTPD6",-1.28834534226792,-9.18748340740789,2.13472288027318e-07,9.96985960567145e-07,"HGNC:3368","ENTPD6",955,955,TRUE
"SRPRA",-0.920417504249807,-9.18128239470003,2.15267870774426e-07,1.00426833237246e-06,"HGNC:11307","SRPRA",6734,6734,TRUE
"ARFIP1",-0.565878977758678,-9.17674514631799,2.16591816175129e-07,1.00933686265822e-06,"HGNC:21496","ARFIP1",27236,27236,TRUE
"AGK",0.524383879958685,9.16656686649597,2.19593245993826e-07,1.02220295232613e-06,"HGNC:21869","AGK",55750,55750,TRUE
"ATP8A1",0.424927698865118,9.16240026210202,2.20834592607448e-07,1.02685669429065e-06,"HGNC:13531","ATP8A1",10396,10396,TRUE
"EIF6",-0.464422029527208,-9.15375870943576,2.23432893513401e-07,1.03703820081914e-06,"HGNC:6159","EIF6",3692,3692,TRUE
"CYP51A1",-1.03304340034864,-9.1534965136462,2.23512233400078e-07,1.03703820081914e-06,"HGNC:2649","CYP51A1",1595,1595,TRUE
"AGPAT4",-0.613142676845858,-9.14346962760005,2.26568838607426e-07,1.05007367947825e-06,"HGNC:20885","AGPAT4",56895,56895,TRUE
"IGFBP2",-0.878725854406776,-9.14164338556627,2.27130299868395e-07,1.05152916605738e-06,"HGNC:5471","IGFBP2",3485,3485,TRUE
"ARFRP1",-0.550614858742626,-9.13083433961829,2.30483741714642e-07,1.06589325602528e-06,"HGNC:662","ARFRP1",10139,10139,TRUE
"TFG",-0.836137968057524,-9.11691068330673,2.34880906014198e-07,1.08504766365254e-06,"HGNC:11758","TFG",10342,10342,TRUE
"DR1",-2.53129733892895,-9.11034696006886,2.36984482666762e-07,1.09357660296823e-06,"HGNC:3017","DR1",1810,1810,TRUE
"ATP6V1B2",0.507318564353828,9.10538848928812,2.38586819067818e-07,1.0997765521022e-06,"HGNC:854","ATP6V1B2",526,526,TRUE
"NAPB",0.691995134060297,9.09694061320646,2.41343232679276e-07,1.1112770735503e-06,"HGNC:15751","NAPB",63908,63908,TRUE
"RASGRP2",0.745459350508273,9.0523390676329,2.56465623223982e-07,1.17835556616424e-06,"HGNC:9879","RASGRP2",10235,10235,TRUE
"DAB1",0.665142476358781,9.05038032794491,2.57152318376455e-07,1.18023472257012e-06,"HGNC:2661","DAB1",1600,1600,TRUE
"FADS1",-1.0311646137231,-9.04875147677393,2.57724843207621e-07,1.18158639011045e-06,"HGNC:3574","FADS1",3992,3992,TRUE
"PCDH1",0.883058938167667,9.01303967787008,2.7062222293774e-07,1.23771528942128e-06,"HGNC:8655","PCDH1",5097,5097,TRUE
"MB21D2",0.574144181924311,9.01244893421253,2.70841228038069e-07,1.23771528942128e-06,"HGNC:30438","MB21D2",151963,151963,TRUE
"INPP5A",0.561974223112539,8.99604275895219,2.76999004974254e-07,1.26449599478043e-06,"HGNC:6076","INPP5A",3632,3632,TRUE
"SYT3",0.807514543403625,8.98407624891817,2.81583787364657e-07,1.28404624066501e-06,"HGNC:11511","SYT3",84258,84258,TRUE
"WDR7",0.607039175452887,8.98325058991492,2.81903073443851e-07,1.28412439671636e-06,"HGNC:13490","WDR7",23335,23335,TRUE
"UROD",-0.492869939528058,-8.96124431625168,2.90555737855592e-07,1.32212193349707e-06,"HGNC:12591","UROD",7389,7389,TRUE
"SNRK",0.454635442651893,8.95970240092643,2.91172448969956e-07,1.32351113168162e-06,"HGNC:30598","SNRK",54861,54861,TRUE
"NAGLU",-0.986136540588818,-8.95532888926737,2.92929245953258e-07,1.33007403344161e-06,"HGNC:7632","NAGLU",4669,4669,TRUE
"PDCD6",-0.674380927671923,-8.95217281297453,2.94203976794077e-07,1.33443639421006e-06,"HGNC:8765","PDCD6",10016,10016,TRUE
"CNRIP1",0.534178678929829,8.9477105647322,2.96016292983509e-07,1.34122520808093e-06,"HGNC:24546","CNRIP1",25927,25927,TRUE
"TIMM9",0.496460958192733,8.93103418740738,3.02894574971177e-07,1.37092858746273e-06,"HGNC:11819","TIMM9",26520,26520,TRUE
"CARMIL2",0.607081749433258,8.92517444657092,3.05351447050643e-07,1.38057835102684e-06,"HGNC:27089","CARMIL2",146206,146206,TRUE
"OXSM",0.454353436965793,8.9230975822551,3.06227288603261e-07,1.38306692514757e-06,"HGNC:26063","OXSM",54995,54995,TRUE
"SLC20A2",0.568890250730136,8.91031355974665,3.11677354819024e-07,1.40618764116863e-06,"HGNC:10947","SLC20A2",6575,6575,TRUE
"EPHX1",-1.00194348690986,-8.90248005542287,3.15067557950814e-07,1.41997573837854e-06,"HGNC:3401","EPHX1",2052,2052,TRUE
"ARSA",-1.0285848217355,-8.89994117270725,3.16174696478726e-07,1.420967450827e-06,"HGNC:713","ARSA",410,410,TRUE
"PTPRN",0.687103400891223,8.89979010270384,3.16240703668158e-07,1.420967450827e-06,"HGNC:9676","PTPRN",5798,5798,TRUE
"GOLGA7",0.526610207763727,8.89947289184378,3.16379350426446e-07,1.420967450827e-06,"HGNC:24876","GOLGA7",51125,51125,TRUE
"PLSCR3",0.390556329382343,8.89891126933229,3.1662498257251e-07,1.420967450827e-06,"HGNC:16495","PLSCR3",57048,57048,TRUE
"PCYOX1",-1.24822658615395,-8.89120560775851,3.20015595555426e-07,1.43466907290144e-06,"HGNC:20588","PCYOX1",51449,51449,TRUE
"PLXNA2",0.601264999082234,8.88666492257875,3.220315390233e-07,1.44218550142152e-06,"HGNC:9100","PLXNA2",5362,5362,TRUE
"DNM1",0.558213394924639,8.87307584420306,3.28145410158917e-07,1.46801894018463e-06,"HGNC:2972","DNM1",1759,1759,TRUE
"PALM",0.681520652748643,8.84753223911111,3.39972557815036e-07,1.51679244073662e-06,"HGNC:8594","PALM",5064,5064,TRUE
"ARFGAP2",-1.18891314482901,-8.84722315810374,3.40118399064001e-07,1.51679244073662e-06,"HGNC:13504","ARFGAP2",84364,84364,TRUE
"SLC43A2",0.849402633487037,8.83866844705409,3.44181357906915e-07,1.53169714251769e-06,"HGNC:23087","SLC43A2",124935,124935,TRUE
"GET3",-0.468861404505705,-8.83541824420504,3.45738435362299e-07,1.53701710281357e-06,"HGNC:752","GET3",439,439,TRUE
"LAMTOR3",-0.59467411560633,-8.83053550488011,3.48091635651039e-07,1.54586149583795e-06,"HGNC:15606","LAMTOR3",8649,8649,TRUE
"ALDH18A1",-0.611424843553717,-8.82487317995647,3.50841785905614e-07,1.55644842390278e-06,"HGNC:9722","ALDH18A1",5832,5832,TRUE
"PSMD12",-0.565104797019068,-8.82064142845149,3.5291212087719e-07,1.56400053569141e-06,"HGNC:9557","PSMD12",5718,5718,TRUE
"GNB2",0.577291992137138,8.81673133626524,3.54836577578285e-07,1.56925645651167e-06,"HGNC:4398","GNB2",2783,2783,TRUE
"FGD4",0.561912303403951,8.81548300545557,3.55453312416688e-07,1.57034987294275e-06,"HGNC:19125","FGD4",121512,121512,TRUE
"DHX9",-2.65212429712625,-8.81070822076531,3.57822766942305e-07,1.57917628193644e-06,"HGNC:2750","DHX9",1660,1660,TRUE
"DBNL",0.390283418640815,8.79921036170001,3.63597326914108e-07,1.60299651388481e-06,"HGNC:2696","DBNL",28988,28988,TRUE
"HNRNPM",-3.64593537924599,-8.79529056771276,3.65588425758236e-07,1.61010446577461e-06,"HGNC:5046","HNRNPM",4670,4670,TRUE
"RAPGEF4",0.789392578457729,8.79194110870449,3.67298955849985e-07,1.61596331507498e-06,"HGNC:16626","RAPGEF4",11069,11069,TRUE
"COG5",-0.56652649250329,-8.78449836046649,3.71130260213581e-07,1.63113092648161e-06,"HGNC:14857","COG5",10466,10466,TRUE
"PSMB5",-0.576475601955542,-8.77422462811892,3.76488464508592e-07,1.65126519521312e-06,"HGNC:9542","PSMB5",5693,5693,TRUE
"SLC35B2",-1.1564385064509,-8.76054346822169,3.8375115809915e-07,1.68138394012514e-06,"HGNC:16872","SLC35B2",347734,347734,TRUE
"SLC25A46",0.585229327563118,8.74687646553703,3.91154455560006e-07,1.71205606192588e-06,"HGNC:25198","SLC25A46",91137,91137,TRUE
"MICALL2",-1.23127352950406,-8.74601800420577,3.91624490910854e-07,1.71234988309787e-06,"HGNC:29672","MICALL2",79778,79778,TRUE
"MADD",0.537389638900183,8.74074689019571,3.94523722800084e-07,1.72148441673548e-06,"HGNC:6766","MADD",8567,8567,TRUE
"ACAT1",0.35389168498474,8.73399732245172,3.98269321535595e-07,1.73604576053977e-06,"HGNC:93","ACAT1",38,38,TRUE
"MBLAC2",0.479132901622223,8.73269763458585,3.98994877537734e-07,1.73742646468788e-06,"HGNC:33711","MBLAC2",153364,153364,TRUE
"SMPD3",0.687782897096511,8.73058730451073,4.00175957201601e-07,1.74078589366101e-06,"HGNC:14240","SMPD3",55512,55512,TRUE
"HCFC2",-1.33672605950448,-8.72247493161395,4.04750716276654e-07,1.75888603698955e-06,"HGNC:24972","HCFC2",29915,29915,TRUE
"PIGK",-0.640350850021733,-8.70916781655714,4.12375094990534e-07,1.78960205536094e-06,"HGNC:8965","PIGK",10026,10026,TRUE
"SPTBN2",0.63378918413759,8.69525168150253,4.2051111852014e-07,1.81993101192525e-06,"HGNC:11276","SPTBN2",6712,6712,TRUE
"ACTN1",0.519383110764504,8.67723139630817,4.31299684662481e-07,1.86472396725895e-06,"HGNC:163","ACTN1",87,87,TRUE
"YBX3",-0.522555331689846,-8.67075236387475,4.35249827062435e-07,1.8798900050969e-06,"HGNC:2428","YBX3",8531,8531,TRUE
"PTMS",-2.83756245555133,-8.66287611266863,4.40103413760162e-07,1.89806848706404e-06,"HGNC:9629","PTMS",5763,5763,TRUE
"NEBL",0.671703064676995,8.6624753695302,4.40351888998858e-07,1.89806848706404e-06,"HGNC:16932","NEBL",10529,10529,TRUE
"ADCY9",1.02507541452251,8.65973115763557,4.42057390623303e-07,1.90348927066772e-06,"HGNC:240","ADCY9",115,115,TRUE
"DKC1",-0.903685315355029,-8.65891567146543,4.42565552707013e-07,1.90374858198867e-06,"HGNC:2890","DKC1",1736,1736,TRUE
"LAMA5",0.564732691732369,8.65060889787022,4.47777168880904e-07,1.92421938093412e-06,"HGNC:6485","LAMA5",3911,3911,TRUE
"SHROOM2",0.498167300173026,8.63520995239784,4.57610780811784e-07,1.96449072570716e-06,"HGNC:630","SHROOM2",357,357,TRUE
"NOCT",0.757691236695516,8.63444176879649,4.58107276420633e-07,1.96463766376154e-06,"HGNC:14254","NOCT",25819,25819,TRUE
"HERC1",0.406454934991045,8.63049303119992,4.60668445493731e-07,1.97362993281084e-06,"HGNC:4867","HERC1",8925,8925,TRUE
"MACF1",0.639482889002794,8.60149873332377,4.79944308219832e-07,2.05414230607682e-06,"HGNC:13664","MACF1",23499,23499,TRUE
"DPP6",0.453346176168586,8.57193620435412,5.00478296483488e-07,2.13846790264725e-06,"HGNC:3010","DPP6",1804,1804,TRUE
"LARP1",-0.486663246458798,-8.57169011839239,5.0065307367859e-07,2.13846790264725e-06,"HGNC:29531","LARP1",23367,23367,TRUE
"RAB3B",0.783564334247931,8.5639957138971,5.06150535806273e-07,2.15977889274765e-06,"HGNC:9778","RAB3B",5865,5865,TRUE
"IRF2BPL",-2.55736628193161,-8.55511547178325,5.12574675893588e-07,2.18499736464167e-06,"HGNC:14282","IRF2BPL",64207,64207,TRUE
"RALBP1",0.612792269889196,8.54548834622,5.19636609459144e-07,2.21288135290718e-06,"HGNC:9841","RALBP1",10928,10928,TRUE
"MAPK8IP1",0.717427018515136,8.52806608670465,5.32679403577036e-07,2.26615361882122e-06,"HGNC:6882","MAPK8IP1",9479,9479,TRUE
"SYNJ1",0.4758239182753,8.51661331398534,5.41441454935044e-07,2.30112618347394e-06,"HGNC:11503","SYNJ1",8867,8867,TRUE
"PLRG1",-0.873772391389406,-8.51561691776527,5.42210927808826e-07,2.30209434883867e-06,"HGNC:9089","PLRG1",5356,5356,TRUE
"RALA",0.490804629012237,8.50460536538317,5.50792053897785e-07,2.33619384138282e-06,"HGNC:9839","RALA",5898,5898,TRUE
"PRKAR1B",-0.884328511807245,-8.4911059612401,5.6150821707348e-07,2.37927210624356e-06,"HGNC:9390","PRKAR1B",5575,5575,TRUE
"EMC8",-0.915601671127506,-8.4834543449195,5.67679917765535e-07,2.40302754034215e-06,"HGNC:7864","EMC8",10328,10328,TRUE
