"","symbol","log2fc","effectsize","pvalue","pvalue_adjust","hgnc_id","hgnc_symbol","entrez_id","gene","signif"
"3050","TBC1D30",-0.929472539137772,-0.929472539137772,9.34250572850738e-05,0.00035907041221921,"HGNC:29164","TBC1D30",23329,23329,FALSE
"3051","ACVR1B",-0.615702631430094,-0.615702631430094,9.37626948197923e-05,0.000360271321207414,"HGNC:172","ACVR1B",91,91,FALSE
"3052","STX4",0.60189369766886,0.60189369766886,9.38849965721118e-05,0.000360644406966537,"HGNC:11439","STX4",6810,6810,FALSE
"3053","TPRA1",-1.15013922590043,-1.15013922590043,9.45810896363323e-05,0.000363220829738669,"HGNC:30413","TPRA1",131601,131601,FALSE
"3054","MIEF2",-0.769851743524188,-0.769851743524188,9.52735989451891e-05,0.000365782110895281,"HGNC:17920","MIEF2",125170,125170,FALSE
"3055","BIRC6",-0.540849869702383,-0.540849869702383,9.54862834543902e-05,0.000366500329921907,"HGNC:13516","BIRC6",57448,57448,FALSE
"3056","ELP6",-1.06620215873526,-1.06620215873526,9.58351734908079e-05,0.000367740814556173,"HGNC:25976","ELP6",54859,54859,FALSE
"3057","ELOVL5",-0.62764680091262,-0.62764680091262,9.61179633628709e-05,0.00036872706106148,"HGNC:21308","ELOVL5",60481,60481,FALSE
"3058","SPAG17",-1.89154937226929,-1.89154937226929,9.64973343533269e-05,0.000370083183399023,"HGNC:26620","SPAG17",200162,200162,FALSE
"3059","SNX14",-0.692759785323268,-0.692759785323268,9.65618411716918e-05,0.000370231346550305,"HGNC:14977","SNX14",57231,57231,FALSE
"3060","CSF1",-0.692969281621487,-0.692969281621487,9.66863968292635e-05,0.000370609604133386,"HGNC:2432","CSF1",1435,1435,FALSE
"3061","S100A4",1.5562462371479,1.5562462371479,9.68906475866613e-05,0.000371293057396234,"HGNC:10494","S100A4",6275,6275,FALSE
"3062","PDIA6",-0.508368844537412,-0.508368844537412,9.72598899745952e-05,0.000372608237120879,"HGNC:30168","PDIA6",10130,10130,FALSE
"3063","CDH10",-0.56274811807998,-0.56274811807998,9.73884298017784e-05,0.000373000814248835,"HGNC:1749","CDH10",1008,1008,FALSE
"3064","NDRG4",-0.59319483945725,-0.59319483945725,9.78207366399425e-05,0.000374556307353743,"HGNC:14466","NDRG4",65009,65009,FALSE
"3065","QTRT1",-1.32970900814257,-1.32970900814257,9.79451077080362e-05,0.000374932195343577,"HGNC:23797","QTRT1",81890,81890,FALSE
"3066","IFNAR2",-0.880352587852583,-0.880352587852583,9.81429501752899e-05,0.000375488629427332,"HGNC:5433","IFNAR2",3455,3455,FALSE
"3067","PRDX5",0.511265265390568,0.511265265390568,9.82867536305408e-05,0.000375938293958676,"HGNC:9355","PRDX5",25824,25824,FALSE
"3068","IMPDH2",-0.553256433835741,-0.553256433835741,9.86449888939347e-05,0.000377207682010505,"HGNC:6053","IMPDH2",3615,3615,FALSE
"3069","RAB14",0.523061445362826,0.523061445362826,9.90587006493707e-05,0.000378587325745685,"HGNC:16524","RAB14",51552,51552,FALSE
"3070","P2RX4",-1.08737205174978,-1.08737205174978,9.96439633946162e-05,0.000380722422486933,"HGNC:8535","P2RX4",5025,5025,FALSE
"3071","SLC16A1",-0.648936778564784,-0.648936778564784,9.97461056959584e-05,0.000381010952056452,"HGNC:10922","SLC16A1",6566,6566,FALSE
"3072","G2E3",-0.784690660945652,-0.784690660945652,0.000100492979859587,0.000383761422153944,"HGNC:20338","G2E3",55632,55632,FALSE
"3073","GGT7",-0.586649285078148,-0.586649285078148,0.000100832104814626,0.000384862523567224,"HGNC:4259","GGT7",2686,2686,FALSE
"3074","FDPS",-0.51759835698877,-0.51759835698877,0.000100867574456434,0.000384862523567224,"HGNC:3631","FDPS",2224,2224,FALSE
"3075","RRP1",-0.62355981606614,-0.62355981606614,0.000100868208294086,0.000384862523567224,"HGNC:18785","RRP1",8568,8568,FALSE
"3076","SLIT1",-0.779481102681186,-0.779481102681186,0.00010088890389969,0.000384862523567224,"HGNC:11085","SLIT1",6585,6585,FALSE
"3077","CCAR1",0.711532173662385,0.711532173662385,0.000101123406714818,0.00038565427150382,"HGNC:24236","CCAR1",55749,55749,FALSE
"3078","NDUFV2",0.469293273417534,0.469293273417534,0.000102571085757419,0.000390758697045504,"HGNC:7717","NDUFV2",4729,4729,FALSE
"3079","LMF2",-0.827053695382549,-0.827053695382549,0.000103115707257916,0.000392624442563469,"HGNC:25096","LMF2",91289,91289,FALSE
"3080","PRRG1",0.747238432886641,0.747238432886641,0.00010401415615059,0.00039583472349968,"HGNC:9469","PRRG1",5638,5638,FALSE
"3081","PAK2",0.613621711051017,0.613621711051017,0.000104447259836577,0.000397377250997493,"HGNC:8591","PAK2",5062,5062,FALSE
"3082","NID1",0.624125429799118,0.624125429799118,0.00010465971806257,0.000398079719765369,"HGNC:7821","NID1",4811,4811,FALSE
"3083","PRPSAP2",-0.551746178777436,-0.551746178777436,0.000104835626557571,0.000398642832955698,"HGNC:9467","PRPSAP2",5636,5636,FALSE
"3084","TTLL12",-0.65661260004735,-0.65661260004735,0.000105051289170371,0.000399356773841348,"HGNC:28974","TTLL12",23170,23170,FALSE
"3085","KIRREL3",-0.547488215713843,-0.547488215713843,0.000105120954920971,0.0003995154698444,"HGNC:23204","KIRREL3",84623,84623,FALSE
"3086","RNF157",0.658788049614435,0.658788049614435,0.000105753861145599,0.000401814126163668,"HGNC:29402","RNF157",114804,114804,FALSE
"3087","CCDC22",-1.17237105105047,-1.17237105105047,0.000105944242516618,0.000402419284547147,"HGNC:28909","CCDC22",28952,28952,FALSE
"3088","DEK",0.790554963520795,0.790554963520795,0.0001059693804021,0.000402419284547147,"HGNC:2768","DEK",7913,7913,FALSE
"3089","FITM2",-0.682181163114487,-0.682181163114487,0.000106113727762511,0.000402860528138437,"HGNC:16135","FITM2",128486,128486,FALSE
